coefficient;DIT;DII;DIO;DTI
b0;-5.458486321;-3.20747159;-6.7304924;-0.702490852
b1;-0.418585095;0;-0.3948318;0
b2;-0.145720412;-0.07787222;0;-0.132062643
b3;0;0.37694197;0;0
b4;0.003011819;-0.01091784;0;0
b5;0;-0.11008005;0;0
b6;0;0;0;-0.003089265
b7;0;0;1.1864833;0
b8;0;0;-0.1823727;0
b9;-0.262434161;0.31756485;-0.2537108;0.108931881
b10;0;-0.05122414;0.1196884;0
b11H1;0.912704715;0.34266463;1.5008093;0.697053965
b11H2;1.601725623;-0.30132437;1.2879513;0.523330368
b11H3;0.860556512;0.25454695;-0.1689672;0.505985083
b11H4;0;0;0;0
b11H5;1.666003892;0.88828298;1.8204967;1.231291624
b11H6;0.116115003;0.38825527;1.2922305;0.491046669
b11H7;0.951200992;0.41569922;1.4235375;0.85174612
b11H8;-0.602159753;-0.09731206;1.1588909;-0.009332837
