Taxon;NER;NEL;NTE;DTI;DII;DIO;DIT;REGROUP
ABL;N;N;O;O;N;O;O;
ANG;N;N;O;O;O;N;N;
BAF;O;O;O;O;N;N;N;
BAM;O;O;O;O;N;N;N;
BLN;O;N;O;O;N;N;N;
BOU;N;N;O;O;N;N;N;
BRB;R;R;R;O;N;O;O;BRE
BRE;N;N;O;O;N;O;O;
BRO;N;N;O;O;N;N;N;
CAX;N;N;O;O;N;O;N;
CAS;R;R;R;O;N;O;N;CAX
CAG;R;R;R;O;N;O;N;CAX
CAD;R;R;R;O;N;O;N;CAX
CAA;R;R;R;O;N;O;N;CAX
CCO;N;N;O;O;N;O;N;
CCU;R;R;R;O;N;O;N;CCO
CHA;O;O;O;O;O;N;N;
CHP;R;R;R;O;O;N;N;CHA
CHE;N;N;O;O;N;O;O;
CMI;R;R;R;O;N;O;N;CCO
EPI;N;N;O;O;N;O;O;
EPT;N;N;O;O;N;O;N;
GAR;N;N;O;O;N;O;O;
GOX;N;N;O;O;O;N;N;
GOL;R;R;R;O;O;N;N;GOX
GOO;R;R;R;O;O;N;N;GOX
GOU;R;R;R;O;O;N;N;GOX
GRE;N;N;O;O;O;N;N;
HOT;O;O;O;O;N;N;N;
LOF;N;N;O;O;N;N;O;
LOT;O;N;O;O;N;N;N;
LPP;N;O;O;O;N;N;N;
OBR;O;O;O;O;O;N;N;
PCH;N;O;O;O;O;N;N;
PER;N;N;O;O;N;N;N;
PES;N;N;O;O;O;N;N;
ROT;N;N;O;O;N;O;N;
SAN;N;N;O;O;N;N;N;
SAT;O;O;O;O;O;N;N;
SPI;O;O;O;O;O;N;N;
TAN;N;N;O;O;N;O;N;
TOX;O;O;O;O;N;O;N;
TRF;O;O;O;O;O;N;N;
TRL;R;R;R;O;O;N;N;TRF
TRM;R;R;R;O;O;N;N;TRF
PHX;N;O;O;O;N;N;N;
VAI;R;R;R;O;N;N;N;PHX
VAC;R;R;R;O;N;N;N;PHX
VAB;R;R;R;O;N;N;N;PHX
VAN;O;N;O;O;N;O;N;
VAR;R;R;R;O;N;O;N;VAN
