IPR;v1.0.3;12/03/2024;Temps d'execution :;2.57secs
"CODE_OPERATION";"CODE_STATION";"DATE";"CODE_PAR";"LIB_PAR";"RESULTAT"
"3412";"27612";"23/09/2008";NA;"ALT";5
"3412";"27612";"23/09/2008";7744;"Score NER";4.61558590181247
"3412";"27612";"23/09/2008";7743;"Score NEL";1.03894828722529
"3412";"27612";"23/09/2008";7644;"Score NTE";0.102129483010535
"3412";"27612";"23/09/2008";7786;"Score DIT";0.110635521824307
"3412";"27612";"23/09/2008";7746;"Score DIO";0.701471386754026
"3412";"27612";"23/09/2008";7745;"Score DII";3.52466577586049
"3412";"27612";"23/09/2008";7787;"Score DTI";7.20967714074891
"3412";"27612";"23/09/2008";7036;"IPR";17.303113497236
"3411";"27612";"05/10/2010";NA;"ALT";5
"3411";"27612";"05/10/2010";7744;"Score NER";4.5178777067117
"3411";"27612";"05/10/2010";7743;"Score NEL";3.40426386041189
"3411";"27612";"05/10/2010";7644;"Score NTE";2.68986907597214
"3411";"27612";"05/10/2010";7786;"Score DIT";0.0332041361733099
"3411";"27612";"05/10/2010";7746;"Score DIO";0.624456771777424
"3411";"27612";"05/10/2010";7745;"Score DII";12.0554033174206
"3411";"27612";"05/10/2010";7787;"Score DTI";18.2207057705868
"3411";"27612";"05/10/2010";7036;"IPR";41.5457806390539
"3410";"27612";"19/08/2013";NA;"ALT";5
"3410";"27612";"19/08/2013";7744;"Score NER";1.64615833618333
"3410";"27612";"19/08/2013";7743;"Score NEL";0.190598439680835
"3410";"27612";"19/08/2013";7644;"Score NTE";3.4369339216288
"3410";"27612";"19/08/2013";7786;"Score DIT";0.965823066615996
"3410";"27612";"19/08/2013";7746;"Score DIO";3.63874558684429
"3410";"27612";"19/08/2013";7745;"Score DII";4.71795749293479
"3410";"27612";"19/08/2013";7787;"Score DTI";3.08178832214366
"3410";"27612";"19/08/2013";7036;"IPR";17.6780051660317
"4880";"27612";"15/09/2014";NA;"ALT";5
"4880";"27612";"15/09/2014";7744;"Score NER";4.6043321219655
"4880";"27612";"15/09/2014";7743;"Score NEL";3.33060052297215
"4880";"27612";"15/09/2014";7644;"Score NTE";1.62113179699177
"4880";"27612";"15/09/2014";7786;"Score DIT";0.114864796978067
"4880";"27612";"15/09/2014";7746;"Score DIO";0.654257243961934
"4880";"27612";"15/09/2014";7745;"Score DII";7.71694929303763
"4880";"27612";"15/09/2014";7787;"Score DTI";12.5373197503247
"4880";"27612";"15/09/2014";7036;"IPR";30.5794555262318
"5079";"27612";"20/09/2016";NA;"ALT";5
"5079";"27612";"20/09/2016";7744;"Score NER";0.033188038917773
"5079";"27612";"20/09/2016";7743;"Score NEL";0.0213546290318445
"5079";"27612";"20/09/2016";7644;"Score NTE";9.63648190983841
"5079";"27612";"20/09/2016";7786;"Score DIT";1.35280312264471
"5079";"27612";"20/09/2016";7746;"Score DIO";5.00544109888584
"5079";"27612";"20/09/2016";7745;"Score DII";3.67024392440035
"5079";"27612";"20/09/2016";7787;"Score DTI";1.41615711854612
"5079";"27612";"20/09/2016";7036;"IPR";21.135669842265
"39610";"27612";"22/08/2018";NA;"ALT";5
"39610";"27612";"22/08/2018";7744;"Score NER";4.58558767982778
"39610";"27612";"22/08/2018";7743;"Score NEL";0.970992454379011
"39610";"27612";"22/08/2018";7644;"Score NTE";2.01096249991478
"39610";"27612";"22/08/2018";7786;"Score DIT";1.81606031227169
"39610";"27612";"22/08/2018";7746;"Score DIO";5.61375416636601
"39610";"27612";"22/08/2018";7745;"Score DII";6.19031743064051
"39610";"27612";"22/08/2018";7787;"Score DTI";0.13108879865444
"39610";"27612";"22/08/2018";7036;"IPR";21.3187633420542
"83488";"27612";"08/09/2020";NA;"ALT";5
"83488";"27612";"08/09/2020";7744;"Score NER";1.64700031793646
"83488";"27612";"08/09/2020";7743;"Score NEL";3.26630204555282
"83488";"27612";"08/09/2020";7644;"Score NTE";12.1345379984332
"83488";"27612";"08/09/2020";7786;"Score DIT";0.976375002171756
"83488";"27612";"08/09/2020";7746;"Score DIO";4.26470671498657
"83488";"27612";"08/09/2020";7745;"Score DII";5.02736738840089
"83488";"27612";"08/09/2020";7787;"Score DTI";1.24245314469177
"83488";"27612";"08/09/2020";7036;"IPR";28.5587426121735
"88569";"27612";"20/09/2022";NA;"ALT";5
"88569";"27612";"20/09/2022";7744;"Score NER";4.56104561174905
"88569";"27612";"20/09/2022";7743;"Score NEL";3.22137455216626
"88569";"27612";"20/09/2022";7644;"Score NTE";2.00775147348517
"88569";"27612";"20/09/2022";7786;"Score DIT";0.273138879634898
"88569";"27612";"20/09/2022";7746;"Score DIO";1.25050923885108
"88569";"27612";"20/09/2022";7745;"Score DII";2.64602202005434
"88569";"27612";"20/09/2022";7787;"Score DTI";3.27619647965565
"88569";"27612";"20/09/2022";7036;"IPR";17.2360382555965
"20570";"32733";"05/08/2013";NA;"ALT";960
"20570";"32733";"05/08/2013";7744;"Score NER";0.242970875190314
"20570";"32733";"05/08/2013";7743;"Score NEL";1.86684013929109
"20570";"32733";"05/08/2013";7644;"Score NTE";1.39704071570034
"20570";"32733";"05/08/2013";7786;"Score DIT";0.340804061118768
"20570";"32733";"05/08/2013";7746;"Score DIO";1.66711411601353
"20570";"32733";"05/08/2013";7745;"Score DII";1.39821877318066
"20570";"32733";"05/08/2013";7787;"Score DTI";0.523536125306053
"20570";"32733";"05/08/2013";7036;"IPR";7.43652480580075
"20589";"32733";"17/07/2014";NA;"ALT";960
"20589";"32733";"17/07/2014";7744;"Score NER";0.224456020646659
"20589";"32733";"17/07/2014";7743;"Score NEL";1.70416084963533
"20589";"32733";"17/07/2014";7644;"Score NTE";1.1737277660536
"20589";"32733";"17/07/2014";7786;"Score DIT";0.359193451164285
"20589";"32733";"17/07/2014";7746;"Score DIO";1.65249186653268
"20589";"32733";"17/07/2014";7745;"Score DII";2.30715137043472
"20589";"32733";"17/07/2014";7787;"Score DTI";1.67184845745111
"20589";"32733";"17/07/2014";7036;"IPR";9.09302978191838
"20620";"32733";"06/07/2015";NA;"ALT";960
"20620";"32733";"06/07/2015";7744;"Score NER";0.280736885034375
"20620";"32733";"06/07/2015";7743;"Score NEL";2.1619548876745
"20620";"32733";"06/07/2015";7644;"Score NTE";1.81435739005648
"20620";"32733";"06/07/2015";7786;"Score DIT";0.216376007997835
"20620";"32733";"06/07/2015";7746;"Score DIO";1.31027775712866
"20620";"32733";"06/07/2015";7745;"Score DII";1.23711467782504
"20620";"32733";"06/07/2015";7787;"Score DTI";0.37679844535847
"20620";"32733";"06/07/2015";7036;"IPR";7.39761605107536
"20644";"32733";"07/07/2016";NA;"ALT";960
"20644";"32733";"07/07/2016";7744;"Score NER";0.246213397372745
"20644";"32733";"07/07/2016";7743;"Score NEL";1.89416095205625
"20644";"32733";"07/07/2016";7644;"Score NTE";1.43493797694861
"20644";"32733";"07/07/2016";7786;"Score DIT";0.256335030988644
"20644";"32733";"07/07/2016";7746;"Score DIO";1.37125612123579
"20644";"32733";"07/07/2016";7745;"Score DII";2.28463673314355
"20644";"32733";"07/07/2016";7787;"Score DTI";1.71540997014471
"20644";"32733";"07/07/2016";7036;"IPR";9.20295018189031
"20661";"32733";"08/08/2017";NA;"ALT";960
"20661";"32733";"08/08/2017";7744;"Score NER";0.275245900856826
"20661";"32733";"08/08/2017";7743;"Score NEL";2.12222696029913
"20661";"32733";"08/08/2017";7644;"Score NTE";1.75699476462444
"20661";"32733";"08/08/2017";7786;"Score DIT";0.218902471173243
"20661";"32733";"08/08/2017";7746;"Score DIO";1.30704925555512
"20661";"32733";"08/08/2017";7745;"Score DII";1.46663202560304
"20661";"32733";"08/08/2017";7787;"Score DTI";0.68386320022485
"20661";"32733";"08/08/2017";7036;"IPR";7.83091457833664
"39343";"32733";"09/08/2018";NA;"ALT";960
"39343";"32733";"09/08/2018";7744;"Score NER";0.288090560979653
"39343";"32733";"09/08/2018";7743;"Score NEL";2.21345764201943
"39343";"32733";"09/08/2018";7644;"Score NTE";1.88941678207514
"39343";"32733";"09/08/2018";7786;"Score DIT";0.220356153938086
"39343";"32733";"09/08/2018";7746;"Score DIO";1.34495646627689
"39343";"32733";"09/08/2018";7745;"Score DII";1.4337370035153
"39343";"32733";"09/08/2018";7787;"Score DTI";0.661336156338598
"39343";"32733";"09/08/2018";7036;"IPR";8.0513507651431
"82969";"32733";"26/06/2019";NA;"ALT";960
"82969";"32733";"26/06/2019";7744;"Score NER";0.294580048926088
"82969";"32733";"26/06/2019";7743;"Score NEL";2.25729451583807
"82969";"32733";"26/06/2019";7644;"Score NTE";1.95399397511137
"82969";"32733";"26/06/2019";7786;"Score DIT";0.212457088629731
"82969";"32733";"26/06/2019";7746;"Score DIO";1.32613226221855
"82969";"32733";"26/06/2019";7745;"Score DII";2.43823299867017
"82969";"32733";"26/06/2019";7787;"Score DTI";2.04956949468206
"82969";"32733";"26/06/2019";7036;"IPR";10.532260384076
"84493";"32733";"23/06/2020";NA;"ALT";960
"84493";"32733";"23/06/2020";7744;"Score NER";0.270457161844176
